;;-1.02809e+65;-1.02809e+65;1.90255e+131;1;1000;nan;nan;nan;1;1000;0.999283;3;2.59208e-06;1;72;72
;;0.999987;3.00001;3.53473e-10;359;11;1;3;1.67165e-13;156;5;1;3;4.87159e-19;74;2;2
-3.23162;4.15713;0.999411;3.00059;6.93024e-07;1;80;0.999888;3.00011;2.39791e-08;1;29;0.998169;3.0005;1.06863e-05;1;151;151
;;-4.41298e+64;-4.41298e+64;3.50539e+130;1;1000;0.999962;3.00004;3.22327e-09;1;25;0.999375;3.00017;1.24425e-06;1;69;69
;;0.99997;3.00003;1.89447e-09;495;15;1;3;1.44701e-14;167;5;1;3;1.53155e-18;74;2;2
9.14922;-6.85763;1.00062;2.99938;7.62048e-07;1;91;1.00014;2.99987;3.71019e-08;1;31;1.0012;2.99855;3.80712e-06;1;172;172
;;-2.45217e+64;-2.45217e+64;1.08236e+130;1;1000;0.999955;3.00005;4.28315e-09;1;29;1.00043;2.99948;4.94319e-07;1;77;77
;;0.999376;2.99706;5.99775e-05;1002;36;1;3;6.75632e-15;123;4;1;3;9.54433e-21;78;2;2
-8.4178;-8.25175;1.00057;2.99943;6.60228e-07;1;70;1.00015;2.99986;4.30703e-08;1;26;0.99881;2.99858;3.07267e-05;1;175;175
;;-2.96681e+65;-2.96681e+65;1.58436e+132;1;1000;1.00006;2.99994;7.29622e-09;1;27;0.99956;2.99947;4.20292e-06;1;78;78
;;1;3;2.71681e-12;237;7;1.00007;2.9999;1.90125e-08;118;4;1;3;3.15544e-30;138;3;3
3.8095;-0.424;1.00061;2.99939;7.5114e-07;1;81;1.00014;2.99985;4.36252e-08;1;28;1.00116;2.99859;3.57128e-06;1;152;152
;;-8.8202e+63;-8.8202e+63;1.40033e+129;1;1000;0.999947;3.00006;6.23576e-09;1;26;1.00041;2.99949;4.60741e-07;1;69;69
;;1.00129;2.99841;4.57345e-06;1002;34;0.999928;3.00008;1.1233e-08;88;3;1;3;2.75328e-19;76;2;2
-2.46858;3.90712;0.99941;3.00059;6.96461e-07;1;78;0.99987;3.00013;3.31533e-08;1;28;0.998249;3.00046;9.96193e-06;1;148;148
;;-3.6766e+64;-3.6766e+64;2.43313e+130;1;1000;0.999964;3.00004;2.79914e-09;1;25;0.999339;3.00017;1.42179e-06;1;67;67
;;0.99991;3.00009;1.71353e-08;417;13;0.999999;3;4.81753e-11;92;3;1;3;2.38583e-19;76;2;2
-5.40161;4.81256;0.999411;3.00059;6.93168e-07;1;84;0.999887;3.00011;2.49254e-08;1;30;0.998254;3.00049;9.56024e-06;1;160;160
;;-6.58692e+64;-6.58692e+64;7.80975e+130;1;1000;0.999947;3.00006;6.27682e-09;1;25;0.999356;3.00018;1.30143e-06;1;72;72
;;0.999948;3.00005;5.6875e-09;481;15;1;3;1.42674e-13;161;5;1;3;3.15544e-30;137;3;3
8.14255;9.54783;1.00059;2.99941;7.05043e-07;1;59;1.00015;2.99985;4.42139e-08;1;23;1.00136;3.00125;3.06069e-05;1;167;167
;;1.96506e+65;1.96506e+65;6.9506e+131;1;1000;0.99995;3.00005;4.9627e-09;1;31;1.00049;3.00045;3.96767e-06;1;75;75
;;1.00001;2.99999;6.69379e-11;163;5;1;3;2.78938e-11;127;4;1;3;7.15621e-19;74;2;2
1.18478;-2.61145;1.00063;2.99937;8.01795e-07;1;80;1.00012;2.99987;3.17494e-08;1;29;1.00006;2.99812;1.67446e-05;1;156;156
;;-7.78919e+64;-7.78919e+64;1.09209e+131;1;1000;0.999958;3.00004;3.34219e-09;1;35;1.00002;2.99927;2.52165e-06;1;70;70
;;1.00001;2.99999;3.66803e-10;360;11;1;3;8.93203e-14;161;5;1;3;3.15544e-30;136;3;3
-8.36977;6.41126;0.999399;3.0006;7.2241e-07;1;88;0.999884;3.00012;2.79087e-08;1;31;0.998215;3.00065;8.75996e-06;1;167;167
;;-8.55258e+64;-8.55258e+64;1.31664e+131;1;1000;1.00005;2.99995;4.5866e-09;1;26;0.999357;3.00023;1.13558e-06;1;75;75
;;0.999965;3.00004;2.61078e-09;611;19;1;3;5.23659e-17;171;5;1;3;3.15544e-30;136;3;3
-9.32849;-5.06894;0.999427;3.00057;6.5756e-07;1;72;0.999879;3.00012;2.99458e-08;1;27;0.998554;2.99887;2.99104e-05;1;173;173
;;-2.64068e+65;-2.64068e+65;1.25518e+132;1;1000;nan;nan;nan;1;1000;0.999451;2.99957;4.30314e-06;1;77;77
;;1;3.00001;2.49982e-10;124;4;1;3;7.66656e-16;165;5;1;3;3.15544e-30;136;3;3
-7.02844;-7.5013;1.00063;2.99937;7.87576e-07;1;72;1.00014;2.99987;3.57648e-08;1;27;0.998876;2.99853;3.03513e-05;1;173;173
;;-2.65967e+65;-2.65967e+65;1.2733e+132;1;1000;0.999925;3.00007;1.06586e-08;1;46;0.999574;2.99944;4.36658e-06;1;77;77
;;1;3;6.59333e-12;230;7;1;3;4.47756e-14;209;6;1;3;3.9443e-30;136;3;3
8.95474;6.19606;1.00058;2.99942;6.67207e-07;1;79;1.00012;2.99989;2.7311e-08;1;29;1.00168;3.00067;2.54282e-05;1;165;165
;;1.60054e+65;1.60054e+65;4.61109e+131;1;1000;0.999946;3.00005;5.43857e-09;1;41;1.00062;3.00025;3.46705e-06;1;74;74
;;1.00002;2.99998;5.15679e-10;219;7;1;3;1.05023e-13;212;6;1;3;4.15491e-17;72;2;2
-0.862062;7.09185;0.999415;3.00059;6.8527e-07;1;81;0.999888;3.00012;2.67295e-08;1;29;0.999234;3.00168;6.77803e-06;1;152;152
;;3.20054e+64;3.20054e+64;1.84383e+130;1;1000;0.999953;3.00005;4.60952e-09;1;37;0.999725;3.0006;8.74453e-07;1;69;69
;;0.999937;3.00006;7.59242e-09;690;21;1;3;1.37321e-14;169;5;1;3;3.96145e-20;76;2;2
3.55872;0.44681;1.00062;2.99938;7.69933e-07;1;79;1.00011;2.99989;2.44061e-08;1;28;1.00129;2.99871;3.32911e-06;1;148;148
